objsortnum_s	objmusno_s
000003 027983	3-27983
000001 148372	1-148372
000025 015364	25-15364
000002 068955	2-68955
000012 003797 A	12-3797A
000025 014495	25-14495
L 015343	L-15343
000001 190153	1-190153
000012 003249 (0)	12-3249(0)
000001 145029	1-145029
000001 080692	1-80692
000016 005415	16-5415
000001 119317	1-119317
000001 104226	1-104226
000001 242659	1-242659
000014 001015 a.3	14-1015a.3
000002 072341	2-72341
000001 111078	1-111078
000003 016850	3-16850
000002 012751	2-12751
000003 001270	3-1270
000015 008433 plate	15-8433.plate
000011 006115	11-6115
000016 020556	16-20556
000012 003040 (0)	12-3040(0)
000012 005171 (0)	12-5171(0)
000001 036880	1-36880
000001 214291	1-214291
000002 008306	2-8306
000001 233627	1-233627
000002 037983	2-37983
000012 010275 +A	12-10275+A
000001 180180	1-180180
000001 134597	1-134597
000014 001103	14-1103
000012 000010 (0)	12-10(0)
000012 002412 000002	12-2412.2
000003 009199	3-9199
000002 057673	2-57673
000001 073789	1-73789
000001 224644 000002	1-224644.2
000001 103883	1-103883
000001 190213	1-190213
000006 020163	6-20163
000005 005495	5-5495
000005 004667 b	5-4667b
000001 078398	1-78398
000016 002766	16-2766
000015 003176	15-3176
000001 244147	1-244147
000002 000020	2-20
000012 009777 D	12-9777D
000001 249300	1-249300
000002 066541 000001	2-66541.1
000001 210720 000001	1-210720.1
000001 084309	1-84309
000003 030470	3-30470
000015 002892	15-2892
000003 014443	3-14443
000005 003239	5-3239
000005 001272	5-1272
000009 017619 mm	9-17619mm
000003 019727	3-19727
000001 171037	1-171037
000001 002355	1-2355
000001 060716	1-60716
000015 003906	15-3906
000008 004307	8-4307
000011 022708 000002	11-22708.2
000006 013849	6-13849
000001 008047	1-8047
000001 024118	1-24118
000001 157244	1-157244
000005 008358 a,b	5-8358a,b
000008 008048	8-8048
000007 009774	7-9774
000002 000984	2-984
000002 066401 000002	2-66401.2
000011 028082	11-28082
000002 070879	2-70879
000003 020168	3-20168
000005 007927	5-7927
000001 070829	1-70829
000002 019923	2-19923
000002 057525	2-57525
000001 068997	1-68997
000012 002191	12-2191
000001 033789	1-33789
000001 060784	1-60784
000003 025208	3-25208
000015 027915	15-27915
000001 158264	1-158264
000001 230862	1-230862
000007 002931	7-2931
000005 008406 b	5-8406b
000001 085680	1-85680
000015 018122	15-18122
000015 005323 plate	15-5323.plate
000002 038028	2-38028
000003 004602	3-4602
000002 031379	2-31379
000012 009275 +A	12-9275+A
000001 088312	1-88312
000005 007908	5-7908
000003 032203	3-32203
000001 139275	1-139275
000011 042024	11-42024
000001 232413	1-232413
000012 001787	12-1787
000001 060023	1-60023
000001 219324	1-219324
000016 017471	16-17471
000001 184145	1-184145
000001 217985	1-217985
000006 011822	6-11822
000014 002043 000003	14-2043.3
000001 081051 000002	1-81051.2
000001 072493	1-72493
000001 093425	1-93425
000006 020122	6-20122
000016 018414	16-18414
000001 032296	1-32296
000015 003320 plate	15-3320.plate
000012 003858 (0)	12-3858(0)
000015 031199 	15-31199
000009 017910 d	9-17910d
000001 086458 000001	1-86458.1
000004 004013	4-4013
000012 007674 000002	12-7674.2
000015 004466 plate	15-4466.plate
000002 023649	2-23649
000007 006602	7-6602
000001 207794	1-207794
000016 002909	16-2909
000003 017287	3-17287
000001 217661	1-217661
000006 009026 b	6-9026b
000001 023683	1-23683
L 010668	L-10668
000001 067776	1-67776
000006 019163	6-19163
000016 020060	16-20060
000001 060339	1-60339
000016 014001	16-14001
000001 254510	1-254510
000001 187581	1-187581
000011 009311	11-9311
000001 063436 000002	1-63436.2
000005 007803	5-7803
000011 013308	11-13308
000016 016685	16-16685
000001 060329	1-60329
000001 089409	1-89409
000001 055160	1-55160
000001 261840	1-261840
000015 027324	15-27324
000004 002584 i	4-2584i
000001 119411	1-119411
000001 199190	1-199190
000011 030046	11-30046
000001 068006	1-68006
000015 011835	15-11835
000001 143850	1-143850
000009 005351	9-5351
000002 059197	2-59197
000012 009604 +A	12-9604+A
000016 000082	16-82
000001 136876	1-136876
000018 001289 a,b	18-1289a,b
000024 000278	24-278
000001 208751	1-208751
000018 000019 b	18-19b
K 003569 b	K-3569b
000001 170863	1-170863
000001 251253	1-251253
000015 003518	15-3518
000001 049984	1-49984
000001 036277	1-36277
000001 058368	1-58368
000001 037815 000001	1-37815.1
000003 030167	3-30167
000007 004788	7-4788
000001 144145	1-144145
000001 250626	1-250626
000015 001509	15-1509
000001 207499	1-207499
000009 000311 a-d	9-311a-d
TEMP 002015 001940	TEMP 2015.1940
000011 014639	11-14639
000006 010381	6-10381
000012 002395	12-2395
000001 059271	1-59271
000011 041166	11-41166
000012 003356 (0)	12-3356(0)
000009 000262	9-262
L 003045	L-3045
000001 007996 000002	1-7996.2
000009 006265 b	9-6265b
000001 107233	1-107233
000006 005899	6-5899
000011 029232	11-29232
000001 036384	1-36384
K 003240	K-3240
000002 019808	2-19808
000001 124647	1-124647
000001 115340	1-115340
000006 000289	6-289
000012 006736 +A	12-6736+A
000001 014667	1-14667
000025 002784	25-2784
000001 014158 a,b	1-14158a,b
000001 238356 _dupe	1-238356_dupe
000015 024903	15-24903
000001 108863	1-108863
L 008762	L-8762
000005 016568	5-16568
000012 008854 B	12-8854B
000001 238619 _dupe	1-238619_dupe
000002 030394	2-30394
000010 003225	10-3225
000001 081928	1-81928
000005 003001	5-3001
000004 005277	4-5277
000001 116221	1-116221
000001 143509	1-143509
000001 147451	1-147451
000009 018275	9-18275
000001 152974	1-152974
000001 255410	1-255410
000003 011244	3-11244
000001 180707	1-180707
000002 014685	2-14685
000001 221275	1-221275
000025 002365	25-2365
000001 167200 000030	1-167200.30
000008 007878	8-7878
000001 064027	1-64027
000006 002367	6-2367
L 002259	L-2259
000002 054066	2-54066
000001 157718	1-157718
000009 000572	9-572
000003 025730	3-25730
000015 008028	15-8028
000001 148209	1-148209
000001 057577	1-57577
000001 066420	1-66420
L 005825	L-5825
000001 122328	1-122328
000016 001717	16-1717
000002 029582	2-29582
000012 005917 H	12-5917H
000002 048039	2-48039
000001 045196	1-45196
000001 015689	1-15689
000015 030880	15-30880
000007 009945 dup2	7-9945-dup2
000011 017968	11-17968
000016 004862	16-4862
000001 028575	1-28575
000009 010397	9-10397
000011 008677	11-8677
000001 253980	1-253980
000001 253734	1-253734
000011 005060	11-5060
000001 236574	1-236574
000018 000257	18-257
000009 014640 a	9-14640a
000003 019166	3-19166
000001 148933	1-148933
000011 031413	11-31413
000013 000987 f	13-987f
000001 221642	1-221642
000016 011530	16-11530
000009 017218	9-17218
000005 002002	5-2002
000002 054434	2-54434
000001 006547	1-6547
000007 002974	7-2974
000001 081172	1-81172
000001 249115	1-249115
L 006757	L-6757
L 007846	L-7846
000001 000148	1-148
000013 005894	13-5894
000006 009242	6-9242
000002 018982	2-18982
L 003313	L-3313
000011 033487 000002	11-33487.2
000001 171767	1-171767
000002 031919	2-31919
000014 001303 a	14-1303a
000001 040912	1-40912
000025 003234	25-3234
000016 012317 a-z	16-12317a-z
000002 044091	2-44091
000001 159381	1-159381
000012 007672 H	12-7672H
000001 070776	1-70776
000012 005572 (0).1	12-5572(0).1
000001 196216	1-196216
000002 044432	2-44432
000011 004764 a,b	11-4764a,b
000001 249381	1-249381
000001 050987	1-50987
000001 040544	1-40544
000002 045069	2-45069
000008 009866	8-9866
000012 001430 000001	12-1430.1
000001 163746	1-163746
FA-TEMP 001383	FA-TEMP1383
000004 009381 oo	4-9381oo
000009 000965	9-965
000001 205630	1-205630
000016 020337	16-20337
000001 043391	1-43391
000001 083480 000001	1-83480.1
K 001385 aBis	K-1385a Bis
000001 149646	1-149646
000001 034739	1-34739
000003 019227	3-19227
000001 175110	1-175110
000012 003805 (0)	12-3805(0)
000001 188416	1-188416
000001 018388	1-18388
000003 024589	3-24589
000016 017955	16-17955
000001 201957	1-201957
K 001614 bBis	K-1614b Bis
000002 046975	2-46975
000009 003961	9-3961
L 008200	L-8200
000001 179635	1-179635
000001 060986	1-60986
000001 212638	1-212638
000001 080416	1-80416
L 018980	L-18980
000011 008290	11-8290
000009 021659	9-21659
000001 127906	1-127906
000004 006416	4-6416
000001 133472	1-133472
000011 034480	11-34480
000015 009631	15-9631
000015 009059	15-9059
000001 042539	1-42539
000015 012276	15-12276
FA-TEMP 000797	FA-TEMP797
000001 018676	1-18676
000001 163693	1-163693
000001 230460 000002	1-230460.2
000001 124327 000002	1-124327.2
000003 021906	3-21906
000024 001449	24-1449
000001 033806	1-33806
000001 196801	1-196801
000005 014769	5-14769
000007 000864	7-864
000006 023122	6-23122
000001 253093	1-253093
000001 168054 000008	1-168054.8
000001 080326	1-80326
000002 019117	2-19117
L 011002	L-11002
000015 005373	15-5373
000001 238364 _dupe	1-238364_dupe
000006 002021	6-2021
000024 000654	24-654
000001 228588	1-228588
K 003430 a-e	K-3430a-e
000001 136151	1-136151
000001 072573	1-72573
000001 144813 000002	1-144813.2
000013 002944	13-2944
000003 024948	3-24948
000015 000572	15-572
000001 055887	1-55887
000011 004328	11-4328
000015 007270	15-7270
000002 063270	2-63270
000024 001831	24-1831
000001 142093	1-142093
000008 007069	8-7069
000011 023128	11-23128
000005 014901 a	5-14901a
000024 001124	24-1124
000002 010067	2-10067
000003 001426	3-1426
000001 180273	1-180273
000015 004057	15-4057
000001 090763	1-90763
000015 007262	15-7262
000002 067632 000002	2-67632.2
000005 004124 a	5-4124a
000025 008748	25-8748
000001 257192	1-257192
000001 088040	1-88040
000001 162954	1-162954
000002 035822	2-35822
000013 006790	13-6790
000001 141469	1-141469
000002 037985	2-37985
000001 212624	1-212624
000001 201596	1-201596
000001 169200	1-169200
000011 016251 000001	11-16251.1
000001 012752	1-12752
000011 002053	11-2053
000002 008694	2-8694
000007 009604	7-9604
K 003561 p	K-3561p
000015 012532	15-12532
000002 043969	2-43969
000006 008872	6-8872
000004 001283	4-1283
000015 000687 film	15-687.film
000011 024766	11-24766
000009 020226	9-20226
000001 260585	1-260585
000002 056359	2-56359
000003 024559	3-24559
000006 008954	6-8954
000012 003761	12-3761
000025 007335	25-7335
000012 011176 (0)	12-11176(0)
000012 001698 A	12-1698A
000001 125732	1-125732
000025 004347	25-4347
000001 063212	1-63212
000009 018257	9-18257
000008 001647	8-1647
000001 248300	1-248300
000001 192827	1-192827
000016 003968	16-3968
000001 191005	1-191005
000001 245195	1-245195
000001 056039	1-56039
000001 050394	1-50394
000012 000859	12-859
000001 178017	1-178017
000005 005427 000007	5-5427.7
000003 004258	3-4258
000001 240423 000001	1-240423.1
K 001337 nBis	K-1337n Bis
000002 063546	2-63546
000011 018212	11-18212
000015 001513 film	15-1513.film
000001 056411	1-56411
000001 188098	1-188098
000001 124321 000004	1-124321.4
000001 157756	1-157756
000011 023759	11-23759
L 010000	L-10000
000001 166419	1-166419
000006 016876	6-16876
000002 020092	2-20092
000001 136274	1-136274
000002 009376 a,b	2-9376a,b
000005 004784 000002	5-4784.2
000015 004584	15-4584
000011 001534	11-1534
000004 002569	4-2569
000001 240859 _dupe	1-240859_dupe
000011 011228	11-11228
000015 017694	15-17694
000001 145484	1-145484
000001 214102	1-214102
000001 210486	1-210486
000001 090089	1-90089
000001 107427	1-107427
L 018103	L-18103
000002 015376	2-15376
000001 081874	1-81874
000012 011180 (0)	12-11180(0)
000006 022949	6-22949
L 009675	L-9675
000001 239953 000002	1-239953.2
000002 017745	2-17745
000015 005294 film	15-5294.film
L 019063	L-19063
000011 030468	11-30468
000011 029972	11-29972
000001 260158	1-260158
000002 003081	2-3081
000016 020461	16-20461
000025 001312	25-1312
000024 002970	24-2970
000002 067027 a,b	2-67027a,b
000001 127371	1-127371
000005 010395	5-10395
L 007228	L-7228
000002 033897	2-33897
000015 028250	15-28250
000001 239461	1-239461
000011 020892	11-20892
000001 049435	1-49435
000001 096241	1-96241
000015 016390	15-16390
000013 004338 b	13-4338b
000001 088229	1-88229
000001 202536 000001	1-202536.1
000003 028941 a-e.1	3-28941a-e.1
000011 021460	11-21460
000002 038475	2-38475
000001 106228	1-106228
000005 011374	5-11374
000011 015530 000001	11-15530.1
000005 014187	5-14187
000006 015830	6-15830
000001 259588 000006	1-259588.6
000004 005809	4-5809
000011 022230	11-22230
000016 010936	16-10936
000001 229302	1-229302
000013 007000	13-7000
000012 000683 000001	12-683.1
000004 009265	4-9265
K 003706	K-3706
000015 015176	15-15176
000011 015258	11-15258
000001 069012	1-69012
000015 006049 plate	15-6049.plate
000002 013030	2-13030
000015 002347 plate	15-2347.plate
000013 000309	13-309
000002 028570	2-28570
000003 010887	3-10887
000011 020047	11-20047
000001 096573	1-96573
000006 009042 a	6-9042a
000001 204811	1-204811
000015 006067	15-6067
000011 044128	11-44128
000001 046325	1-46325
000001 065525	1-65525
000008 006690	8-6690
000002 028593	2-28593
000002 063144	2-63144
000015 021802	15-21802
000015 018741	15-18741
000001 050396	1-50396
000011 025332	11-25332
000002 020800	2-20800
000005 012364	5-12364
000001 141406 000001	1-141406.1
000001 196316	1-196316
000007 000831	7-831
000001 003995	1-3995
000001 021649	1-21649
000001 168872 000002	1-168872.2
000016 018623	16-18623
000010 001499 g	10-1499g
000009 012506 a	9-12506a
000001 241685	1-241685
000008 005713	8-5713
000001 025536	1-25536
000015 028839	15-28839
000001 080361	1-80361
000012 010628 A	12-10628A
000002 006148	2-6148
000009 015916 a-c	9-15916a-c
000011 043158	11-43158
000001 016271	1-16271
000001 151386	1-151386
000011 006401	11-6401
000002 060646	2-60646
000001 257768	1-257768
000001 203414	1-203414
000015 011062	15-11062
000001 224319	1-224319
000002 015734	2-15734
000001 054731	1-54731
000001 084736	1-84736
